year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,1424.0,1349,35.0,1701.0,1556,65.0,EV,4687,N15574,EWR,CVG,129.0,569,13,49,2013-01-01 13:00:00
2013,1,1,1554.0,1600,-6.0,1830.0,1820,10.0,MQ,3985,N606MQ,JFK,CVG,118.0,589,16,0,2013-01-01 16:00:00
2013,1,1,1630.0,1548,42.0,1902.0,1755,67.0,EV,4352,N22909,EWR,CVG,121.0,569,15,48,2013-01-01 15:00:00
2013,1,1,1836.0,1726,70.0,2107.0,1933,94.0,EV,4179,N14543,EWR,CVG,123.0,569,17,26,2013-01-01 17:00:00
2013,1,1,2023.0,1945,38.0,2240.0,2206,34.0,9E,3352,N602LR,JFK,CVG,118.0,589,19,45,2013-01-01 19:00:00
2013,1,1,2115.0,1700,255.0,2330.0,1920,250.0,9E,3347,N924XJ,JFK,CVG,115.0,589,17,0,2013-01-01 17:00:00
2013,1,2,557.0,605,-8.0,832.0,823,9.0,DL,544,N325US,LGA,CVG,117.0,585,6,5,2013-01-02 06:00:00
2013,1,2,600.0,600,0.0,819.0,815,4.0,9E,4171,N8946A,EWR,CVG,120.0,569,6,0,2013-01-02 06:00:00
2013,1,2,629.0,620,9.0,844.0,827,17.0,EV,4460,N11565,EWR,CVG,118.0,569,6,20,2013-01-02 06:00:00
2013,1,2,1253.0,1300,-7.0,1505.0,1508,-3.0,9E,3903,N8432A,EWR,CVG,111.0,569,13,0,2013-01-02 13:00:00
2013,1,2,1256.0,1300,-4.0,1526.0,1518,8.0,DL,1869,N334NB,LGA,CVG,110.0,585,13,0,2013-01-02 13:00:00
2013,1,2,1528.0,1349,99.0,1755.0,1556,119.0,EV,4090,N18557,EWR,CVG,121.0,569,13,49,2013-01-02 13:00:00
2013,1,2,1558.0,1600,-2.0,1923.0,1820,63.0,MQ,3985,N627MQ,JFK,CVG,118.0,589,16,0,2013-01-02 16:00:00
2013,1,2,1655.0,1655,0.0,1911.0,1921,-10.0,DL,995,N376NW,LGA,CVG,108.0,585,16,55,2013-01-02 16:00:00
2013,1,2,1658.0,1700,-2.0,1920.0,1920,0.0,9E,3347,N907XJ,JFK,CVG,111.0,589,17,0,2013-01-02 17:00:00
2013,1,2,1737.0,1726,11.0,1947.0,1933,14.0,EV,4317,N13958,EWR,CVG,113.0,569,17,26,2013-01-02 17:00:00
2013,1,2,1845.0,1645,120.0,2137.0,1859,158.0,9E,3983,N8412F,EWR,CVG,131.0,569,16,45,2013-01-02 16:00:00
2013,1,2,1944.0,1945,-1.0,2225.0,2206,19.0,9E,3352,N924XJ,JFK,CVG,116.0,589,19,45,2013-01-02 19:00:00
2013,1,2,,1540,,,1747,,EV,4352,N10575,EWR,CVG,,569,15,40,2013-01-02 15:00:00
2013,1,3,715.0,607,68.0,951.0,819,92.0,EV,4559,N18557,EWR,CVG,122.0,569,6,7,2013-01-03 06:00:00
2013,1,3,749.0,755,-6.0,959.0,1012,-13.0,9E,4023,N8416B,EWR,CVG,113.0,569,7,55,2013-01-03 07:00:00
2013,1,3,856.0,908,-12.0,1123.0,1120,3.0,EV,4334,N11127,EWR,CVG,108.0,569,9,8,2013-01-03 09:00:00
2013,1,3,1253.0,1300,-7.0,1510.0,1506,4.0,9E,3762,N812AY,EWR,CVG,111.0,569,13,0,2013-01-03 13:00:00
2013,1,3,1421.0,1415,6.0,1638.0,1622,16.0,EV,4687,N11127,EWR,CVG,115.0,569,14,15,2013-01-03 14:00:00
2013,1,3,1551.0,1600,-9.0,1817.0,1820,-3.0,MQ,3985,N600MQ,JFK,CVG,117.0,589,16,0,2013-01-03 16:00:00
2013,1,3,1607.0,1535,32.0,1824.0,1743,41.0,EV,4352,N14543,EWR,CVG,118.0,569,15,35,2013-01-03 15:00:00
